item_id,category,phase,requirement,item,basis_of_design,qty,unit_low_usd,unit_high_usd,vendor,source_url,notes,purchase_gate
BOM-001,Platform,Phase 0,Required,Private GitHub repository,GitHub private repository in company organization,1,0,0,Existing company plan preferred,https://docs.github.com/en/repositories/creating-and-managing-repositories/creating-a-new-repository,Company-owned; do not use a public repo,Create after owner approval
BOM-002,Software,Phase 2,Required,Application software stack,PostgreSQL + FastAPI + React/TypeScript + Docker + Grafana/Power BI,1,0,0,Open-source or existing company licenses,https://www.mtconnect.org/getting-started/,License cost excludes internal labor,Architecture approval
BOM-003,Compute,Phase 2/3,Required,Industrial edge computer,Advantech UNO-2484G-9S50 or IT-approved equivalent,1,2075,3385,Advantech,https://buy.advantech.com/Configure-System/bymodel-UNO-2484G.htm,Fanless; four GbE ports; basis of design only,Machine survey and IT approval
BOM-004,Network,Phase 3,Required,Managed industrial Ethernet switch,Moxa EDS-G4008-LV or IT-approved equivalent,1,1678,2200,Moxa,https://www.moxa.com/en/products/industrial-network-infrastructure/ethernet-switches/layer-2-managed-switches/eds-g4008-series,Eight Gigabit ports; IEC 62443-4-2 certified,IT/OT network design
BOM-005,Power,Phase 3,Required,UPS for edge and network equipment,APC Smart-UPS 1000VA or company standard,1,700,1100,APC / Schneider Electric,https://www.apc.com/us/en/product/SMT1000C/,Final model based on load and runtime,IT/facilities approval
BOM-006,Operator hardware,Phase 4,Required if existing hardware unsuitable,Rugged tablet,Zebra ET40 10-inch or company-approved Windows/Android terminal,2,900,1212,Zebra,https://www.zebra.com/us/en/products/tablets/et4x-series/et40.html,Two stations can serve three nearby CNCs,User workflow test
BOM-007,Operator hardware,Phase 4,Required if travelers are barcoded,2D barcode scanner USB kit,Zebra DS2208 USB kit,2,193,243,Zebra,https://www.zebra.com/us/en/products/scanners/general-purpose-handheld-scanners/ds2200-series.html,Use existing scanners if available,Barcode standard confirmed
BOM-008,Operator hardware,Phase 4,Required,Tablet mounts and protective enclosures,VESA/shop-floor mounting solution,2,250,600,TBD,TBD,Coolant/chip exposure determines enclosure,Site walk
BOM-009,Network,Phase 3,Required,Machine network drops and industrial Cat6 patching,Installed and tested network connection,3,250,800,Company contractor,TBD,One per pilot CNC; range includes labor,IT survey
BOM-010,Panel hardware,Phase 3,Conditional,"DIN-rail enclosure, 24V power supply, terminals, fusing",Controls-panel kit for legacy I/O,1,500,1500,Company standard,TBD,Only if external I/O is required,Legacy signal design
BOM-011,Machine connectivity,Phase 3,Conditional per CNC,OEM or third-party software adapter/license,MTConnect / OPC UA / OEM controller adapter,3,0,2500,Machine-dependent,https://www.mtconnect.org/step-2-supported-devices,Do not purchase until controller survey,OEM confirmation
BOM-012,Legacy I/O,Phase 3,Conditional per legacy CNC,Ethernet remote I/O,Advantech ADAM-6060-D1,1,265,265,Advantech,https://buy.advantech.com/I-O-Devices-Communication/Remote-I-O-Modules-Ethernet-I-O-Modules/model-ADAM-6060-D1.htm,Six isolated DI and relay outputs; use inputs only unless separately approved,Qualified controls design
BOM-013,Legacy I/O,Phase 3,Conditional per legacy CNC,"Isolation relays, terminal blocks, wiring, labels",Company controls standard,1,150,500,TBD,TBD,No access to safety circuits,Electrical review
BOM-014,Legacy sensor,Phase 3,Last resort,Split-core current transducer,Industrial 4-20mA or voltage-output CT,1,100,300,TBD,TBD,Only when native state and relay signals are unavailable,Proof of signal usefulness
BOM-015,Legacy sensor,Phase 3,Last resort,Photoelectric part-count sensor,Industrial photoelectric sensor and bracket,1,100,250,TBD,TBD,Use only when controller count cannot be validated,Part-flow test
BOM-016,Legacy indicator,Phase 3,Optional,Connected stack light / status transmitter,Banner TL70 wireless or wired equivalent,1,350,900,Banner Engineering,https://www.bannerengineering.com/us/en/solutions/other/wirelessly-monitoring-machine-status.html,Not needed when native data is available,Connectivity survey
BOM-017,Server,Phase 2,Required,Central VM or server capacity,"4-8 vCPU, 16GB RAM, 250-500GB protected storage",1,0,4000,Company IT,TBD,Existing VM preferred,IT capacity review
BOM-018,Backup,Phase 2,Required,Backup storage and retention,Company backup platform or protected target,1,300,1000,Company IT,TBD,Restore must be tested,IT backup approval
BOM-019,Services,Phase 3,Conditional,Controls electrician/integrator labor,"Signal validation, isolation, enclosure wiring",24,100,175,Qualified contractor,TBD,Hours and rates are planning allowances,Legacy-machine need confirmed
BOM-020,Services,All,Required,IT/OT networking and cybersecurity labor,"Network design, firewalling, identity, hosting, backup",40,75,175,Internal/contract,https://csrc.nist.gov/pubs/sp/800/82/r3/final,Planning allowance; internal rates vary,Sponsor and IT approval
BOM-021,Services,All,Required,Application development and validation labor,Three-machine pilot engineering effort,500,30,80,Internal,TBD,350-650 hours expected; 500 used as budget basis,Approved project capacity
BOM-022,Services,Phase 1/4,Required,D365/Bluestar integration review,"Entity/event audit, sandbox, security and API review",40,75,200,Business systems/partner,https://learn.microsoft.com/en-us/dynamics365/guidance/techtalks/integrate-finance-operations-overview,Start read-only; no direct DB access,Business systems approval
